Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature
guidsl.BImplies,2,Class,guidsl,BImplies,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl,1,Package,guidsl,,,BASE,FALSE,FALSE,,TRUE,FALSE,,Package is always kernel,,
guidsl.IExpr,2,Class,guidsl,IExpr,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.BImplies.visit(Visitor v),4,Method,guidsl,BImplies,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.IExpr.visit(Visitor v),4,Method,guidsl,IExpr,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
guidsl.BImplies.ARG_LENGTH,3,Field,guidsl,BImplies,ARG_LENGTH,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.BImplies.TOK_LENGTH,3,Field,guidsl,BImplies,TOK_LENGTH,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.BImplies.getIExpr(),4,Method,guidsl,BImplies,getIExpr(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,getIExpr()
guidsl.AstNode,2,Class,guidsl,AstNode,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.AstNode.arg,3,Field,guidsl,AstNode,arg,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.BImplies.getOExpr(),4,Method,guidsl,BImplies,getOExpr(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,getOExpr()
guidsl.OExpr,2,Class,guidsl,OExpr,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.BImplies.printorder(),4,Method,guidsl,BImplies,printorder(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,printorder()
guidsl.BImplies.setParms(OExpr arg0; AstToken tok0; IExpr arg1),4,Method,guidsl,BImplies,setParms(OExpr arg0; AstToken tok0; IExpr arg1),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,setParms(OExpr; AstToken; IExpr)
guidsl.AstToken,2,Class,guidsl,AstToken,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstTokenInterface,2,Class,guidsl,AstTokenInterface,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,package-private,
guidsl.AstNode.tok,3,Field,guidsl,AstNode,tok,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.AstNode.InitChildren(),4,Method,guidsl,AstNode,InitChildren(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,InitChildren()
guidsl.Visitor,2,Class,guidsl,Visitor,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,
guidsl.Visitor.action(BImplies n),4,Method,guidsl,Visitor,action(BImplies n),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,action(BImplies)
guidsl.BImplies.eharvest(),4,Method,guidsl,BImplies,eharvest(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,eharvest()
guidsl.node,2,Class,guidsl,node,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.implies,2,Class,guidsl,implies,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,
guidsl.Expr,2,Class,guidsl,Expr,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.Expr.eharvest(),4,Method,guidsl,Expr,eharvest(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,package-private,eharvest()
guidsl.Model,2,Class,guidsl,Model,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public,
guidsl.Model.visit(Visitor v),4,Method,guidsl,Model,visit(Visitor v),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public,visit(Visitor)
