Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC
Errors.NoTableFound,2,Class,Errors,NoTableFound,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,11
Errors,1,Package,Errors,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0
Errors.NoTableFound.serialVersionUID,3,Field,Errors,NoTableFound,serialVersionUID,PLUGIN,TRUE,TRUE,,TRUE,FALSE,Errors.NoTableFound.serialVersionUID; BttF says it's a child of Errors.NoTableFound THEN it also is fprivate of PLUGIN   ,,final static ,,PLUGIN,PLUGIN,null,1
Errors.NoTableFound.NoTableFound(String error),5,Constructor,Errors,NoTableFound,NoTableFound(String error),PLUGIN,TRUE,TRUE,,TRUE,FALSE,Errors.NoTableFound.NoTableFound(String error); BttF says it's a child of Errors.NoTableFound THEN it also is fprivate of PLUGIN   ,,public ,NoTableFound(String),PLUGIN,PLUGIN,null,3
Errors.PinAlreadyUsed,2,Class,Errors,PinAlreadyUsed,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,12
Errors.PinAlreadyUsed.serialVersionUID,3,Field,Errors,PinAlreadyUsed,serialVersionUID,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,final static ,,FRAMEWORK,PLUGIN,null,1
Errors.PinAlreadyUsed.PinAlreadyUsed(String error),5,Constructor,Errors,PinAlreadyUsed,PinAlreadyUsed(String error),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,PinAlreadyUsed(String),FRAMEWORK,PLUGIN,null,3
Errors.NoPinFound,2,Class,Errors,NoPinFound,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,Errors.NoPinFound belongs to FRAMEWORK because it's the only feature in bounds.   Errors.NoPinFound; BttF says a method of a non-terminal class references it Errors.NoPinFound THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,12
Errors.NoPinFound.serialVersionUID,3,Field,Errors,NoPinFound,serialVersionUID,FRAMEWORK,TRUE,FALSE,,TRUE,FALSE,,,final static ,,FRAMEWORK,PLUGIN,null,1
Errors.NoPinFound.NoPinFound(String error),5,Constructor,Errors,NoPinFound,NoPinFound(String error),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,NoPinFound(String),FRAMEWORK,PLUGIN,null,3
Errors.ValueAlreadyAssigned,2,Class,Errors,ValueAlreadyAssigned,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,12
Errors.ValueAlreadyAssigned.serialVersionUID,3,Field,Errors,ValueAlreadyAssigned,serialVersionUID,PLUGIN,TRUE,TRUE,,TRUE,FALSE,Errors.ValueAlreadyAssigned.serialVersionUID; BttF says it's a child of Errors.ValueAlreadyAssigned THEN it also is fprivate of PLUGIN   ,,final static ,,PLUGIN,PLUGIN,null,1
Errors.ValueAlreadyAssigned.ValueAlreadyAssigned(String error),5,Constructor,Errors,ValueAlreadyAssigned,ValueAlreadyAssigned(String error),PLUGIN,TRUE,TRUE,,TRUE,FALSE,Errors.ValueAlreadyAssigned.ValueAlreadyAssigned(String error); BttF says it's a child of Errors.ValueAlreadyAssigned THEN it also is fprivate of PLUGIN   ,,public ,ValueAlreadyAssigned(String),PLUGIN,PLUGIN,null,3
Errors.NoValueAssigned,2,Class,Errors,NoValueAssigned,,PLUGIN,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,11
