Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
searchtaskgang.OneShotExecutorService,2,Class,searchtaskgang,OneShotExecutorService,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,30,1,false
searchtaskgang,1,Package,searchtaskgang,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0,3,false
searchtaskgang.SearchTaskGangCommon,2,Class,searchtaskgang,SearchTaskGangCommon,,FRAMEWORK,TRUE,FALSE,,FALSE,FALSE,searchtaskgang.SearchTaskGangCommon; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public abstract ,,FRAMEWORK,FRAMEWORK,null,19,1,false
searchtaskgang.OneShotExecutorService.OneShotExecutorService(String[] wordsToFind; String[][] stringsToSearch),5,Constructor,searchtaskgang,OneShotExecutorService,OneShotExecutorService(String[] wordsToFind; String[][] stringsToSearch),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,OneShotExecutorService(String[]; String[][]),FRAMEWORK,PLUGIN,null,9,1,false
searchtaskgang.SearchTaskGangCommon.SearchTaskGangCommon(String[] wordsToFind; String[][] stringsToSearch),5,Constructor,searchtaskgang,SearchTaskGangCommon,SearchTaskGangCommon(String[] wordsToFind; String[][] stringsToSearch),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchTaskGangCommon.SearchTaskGangCommon(String[] wordsToFind; String[][] stringsToSearch); BttF says since it calls fprivate searchtaskgang.SearchTaskGangCommon.mWordsToFind THEN it also belongs to FRAMEWORK   ,,protected ,SearchTaskGangCommon(String[]; String[][]),FRAMEWORK,PLUGIN,null,11,1,false
searchtaskgang.OneShotExecutorService.awaitTasksDone(),4,Method,searchtaskgang,OneShotExecutorService,awaitTasksDone(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,awaitTasksDone(),FRAMEWORK,PLUGIN,@Override,28,1,false
searchtaskgang.SearchTaskGangCommon.awaitTasksDone(),4,Method,searchtaskgang,SearchTaskGangCommon,awaitTasksDone(),FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchTaskGangCommon.awaitTasksDone(); BttF says it's a child of searchtaskgang.SearchTaskGangCommon THEN it also is fprivate of FRAMEWORK   ,,protected ,awaitTasksDone(),FRAMEWORK,PLUGIN,null,24,1,false
searchtaskgang.OneShotExecutorService.mExitBarrier,3,Field,searchtaskgang,OneShotExecutorService,mExitBarrier,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,,FRAMEWORK,PLUGIN,null,4,1,false
searchtaskgang.OneShotExecutorService.mResultsQueue,3,Field,searchtaskgang,OneShotExecutorService,mResultsQueue,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,private ,,FRAMEWORK,PLUGIN,null,5,1,false
searchtaskgang.SearchResults,2,Class,searchtaskgang,SearchResults,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,searchtaskgang.SearchResults belongs to FRAMEWORK because it's the only feature in bounds.   searchtaskgang.SearchResults; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,99,1,false
